linha_produto,principio_ativo,n_skus,marcas,decision,cod_item,desc_global,confidence,reasoning,n_candidates,candidate_cod_items,model,cached,error,custo_medio,custo_min,custo_max,vl_medio_global,prev_mes_rs,abc_global,run_pass
TOPIRAMATO SOLIDO (50MG CP C1 VP ),TOPIRAMATO,2,"['EMS', 'ZYDUS']",match,87259.0,topiramato 50 mg com rev,1.0,Princípio: topiramato (mesmo). Dose: 50 mg (mesma). Forma: comprimido sólido (com rev = comprimido revestido) — mesma forma farmacêutica. Via: oral (comprimido) compatível. Volume/embalagem: sem impacto; marcas ignoradas. Portanto apresentação clínica equivalente.,25,"[116877, 87259, 87258, 87257, 87252, 87265, 86762, 86763, 87286, 87267, 87266, 101241, 108004, 87094, 87278, 87894, 87287, 116624, 84732, 87284, 86968, 86966, 95507, 106547, 86661]",openai:gpt-5-mini,False,,0.1476665,0.135,0.160333,0.2,36.04,C,initial
ESPARADRAPO 5X4.5 BRANCO,PRODUTOS PARA SAUDE,1,['MISSNER'],match,87523.0,"esparadrapo impermeavel 5cm x 4,5m",0.95,"Mesma natureza: esparadrapo (fita adesiva médica). Dimensões coincidentes: 5 cm x 4,5 m (Unimed: 5x4.5). Forma/uso compatíveis; cor branca aceita (Global não especifica cor). Marca irrelevante. Portanto corresponde clinicamente ao item 87523 (esparadrapo impermeável 5cm x 4,5m).",25,"[86604, 87524, 87523, 92724, 84124, 117638, 84680, 108160, 83785, 111955, 111416, 83909, 84326, 83786, 111591, 87976, 87099, 87994, 83888, 84742, 87101, 86847, 87100, 83876, 84733]",openai:gpt-5-mini,False,,4.199875,4.199875,4.199875,7.27,6.543,C,initial
TOPIRAMATO SOLIDO (100MG CP C1 ),TOPIRAMATO,2,"['EMS', 'ZYDUS']",match,87257.0,topiramato 100 mg com rev,1.0,Mesma substância: topiramato. Mesma dose: 100 mg. Mesma forma farmacêutica: comprimido (solido). Mesma via: oral (comprimido). Volume/embalagem não aplicável. Marcas ignoradas; apresentação clínica equivalente.,25,"[111962, 87257, 87259, 87258, 87278, 116624, 101457, 87266, 87238, 101241, 86983, 87263, 86862, 83756, 87252, 87287, 86762, 87265, 92918, 84215, 87286, 116642, 87267, 111595, 92960]",openai:gpt-5-mini,False,,0.2500835,0.240167,0.26,0.31,18.941,C,initial
ETOMIDATO (2MG/ML SOLUCAO INJETAVEL 10ML) C3,ETOMIDATO,3,"['BLAU', 'CRISTALIA']",match,86778.0,etomidato 2 mg/ml sol inj amp 10 ml,1.0,"Mesma substância (etomidato); mesma dose/concentração (2 mg/ml); mesma forma farmacêutica (solução injetável, ampola/frasco); via IV indicada; volume/embalagem 10 ml compatível. Marcas ignoradas — corresponde ao item Global 86778.",25,"[115190, 86778, 86994, 115305, 87266, 87238, 87141, 87007, 86590, 110317, 87267, 86988, 86995, 116736, 110280, 106331, 87024, 113736, 87065, 86997, 86699, 115780, 110315, 110695, 87040]",openai:gpt-5-mini,False,,9.884666666666666,8.65,10.74,11.56,233.512,C,initial
"AGULHA DESC 20X5,5 C/DISP SEG",PRODUTOS PARA SAUDE,1,['LABOR IMPORT'],no_match,,,0.9,"Unimed: agulha descartável 20 x 5,5 mm COM dispositivo de segurança. Não há candidato listado que combine ambos: calibre/comp (20x5,5) e presença de dispositivo de segurança. O cod_item=87682 tem as mesmas dimensões (20x5,5) porém está descrito 's/ dispositivo de segurança' (sem), incompatível com 'c/disp seg'. Outros candidatos ou têm dimensões diferentes (ex.: 20x20, 25x6, 22x15) ou são produtos distintos (seringas, agulhas para biópsia, peridural). Portanto, sem match clínico.",25,"[86604, 87682, 107398, 87899, 88004, 87550, 87446, 87445, 87549, 92782, 87750, 87900, 87546, 87548, 111221, 87835, 88203, 92851, 106811, 87766, 110611, 87547, 87545, 87676, 87752]",openai:gpt-5-mini,False,,0.269319,0.269319,0.269319,,,,initial
LINEZOLIDA (2MG/ML SOLUCAO INJETAVEL 300ML),LINEZOLIDA,3,"['CRISTALIA', 'EUROFARMA', 'HYPOFARMA']",match,83686.0,linezolida 2 mg/ml sol inj bols 300 ml,1.0,"Mesma substância (linezolida), mesma concentração/dose (2 mg/ml), mesma forma farmacêutica (solução injetável), mesma via relevante (IV/injeção) e mesmo volume/embalagem (bolsa/300 ml). Marcas ignoradas.",25,"[115190, 83686, 86777, 110280, 106331, 86995, 115305, 83687, 83668, 113736, 87065, 86994, 86778, 86997, 86979, 87247, 115780, 86758, 86670, 107573, 87066, 86684, 86435, 87238, 86437]",openai:gpt-5-mini,False,,18.166666666666668,13.5,21.0,33.6,6051.36,C,initial
MAX SLIP (LUBRIFICANTE) SPRAY 750ML,OLEO MINERAL,1,['RIOQUIMICA'],no_match,,,0.8,"Produto Unimed: lubrificante à base de óleo mineral em spray 750 ml. Nenhum dos candidatos Global descreve lubrificante em spray à base de óleo mineral com volume 750 ml. O item mais próximo (cod_item=83763: ""lubrificante hinge free instrumental"") não especifica princípio ativo, indicação (instrumental) e volume, logo não é possível considerá‑lo equivalente clínico conforme regras (substância, forma e volume devem ser compatíveis). Portanto no_match.",25,"[95507, 87538, 111591, 86927, 83763, 87725, 87726, 88061, 116768, 106125, 83657, 87549, 87195, 87194, 87495, 87835, 87550, 87497, 87496, 106130, 85002, 84955, 86542, 84134, 86968]",openai:gpt-5-mini,False,,26.5185,26.5185,26.5185,,,,initial
"AGULHA DESC 13X4,5 C/DISP SEG",PRODUTOS PARA SAUDE,2,"['SR', 'VENPER']",match,88004.0,agulha descartavel 13x4 c/ dispositivo de segurança,0.9,"Agulha descartável com dispositivo de segurança — mesma forma e finalidade (agulha hipodérmica descartável), mesmo calibre/tamanho principal (13) e comprimento muito próximo (4,5 vs 4 cm) — marcas ignoradas. Apresentação clínica compatível.",25,"[86604, 88004, 107398, 87899, 87682, 87550, 106811, 111221, 87446, 92782, 87549, 87445, 88203, 87900, 110611, 87547, 87546, 87545, 108813, 87443, 87451, 113452, 87442, 87448, 87766]",openai:gpt-5-mini,False,,0.1675,0.165,0.17,0.25,566.45,B,initial
DIPROPIONATO DE BECLOMETASONA INALATORIO (50MCG/DOSE SUSPENSAO TOPICA FRASCO 200 DOSES),DIPROPIONATO DE BECLOMETASONA,1,['GSK'],match,86505.0,"beclometasona, dipropionato 50 mcg/dose sol aer fr ",0.95,Princípio ativo corresponde (beclometasona dipropionato); dose idêntica (50 mcg/dose); mesma forma farmacêutica (suspensão/solução aerossol inalatória) e mesma via (inalatória). Embalagem 'frasco 200 doses' compatível com descrição do candidato ('sol aer fr'). Marcas ignoradas.,25,"[86959, 86504, 86505, 86503, 92938, 86516, 101457, 87248, 84742, 86818, 105079, 87219, 88152, 100370, 87405, 101465, 87321, 101229, 101223, 101235, 92937, 86725, 101464, 83939, 111159]",openai:gpt-5-mini,False,,14.8572,14.8572,14.8572,27.52,2286.912,C,initial
"FITA MICROPOROSA 5,0X10 BRANCA",PRODUTOS PARA SAUDE,2,"['CIEX', 'MISSNER']",match,87522.0,fita microporosa hipoalergênica 50mm x 10m,1.0,"Princípio: fita microporosa (produto para saúde). Forma: fita microporosa. Dimensões/dose: 5,0 cm = 50 mm de largura x 10 m de comprimento coincide com '50mm x 10m'. Via/uso não aplicável. Cor branca compatível. Marcas ignoradas.",25,"[86604, 87522, 87521, 102367, 102359, 84326, 110407, 84680, 84899, 87976, 108160, 88058, 83909, 92745, 83803, 86843, 111591, 84226, 83888, 102329, 83816, 84759, 84212, 86927, 83666]",openai:gpt-5-mini,False,,4.1,3.7,4.5,4.58,4361.992,A,initial
"FITA MICROPOROSA 5,0X10 BEGE",PRODUTOS PARA SAUDE,1,['CIEX'],match,87522.0,fita microporosa hipoalergênica 50mm x 10m,1.0,"Princípio: produto para saúde (fita adesiva). Forma farmacêutica: fita microporosa — corresponde. Tamanho/volume: 5,0 = 50 mm e comprimento 10 corresponde a 50mm x 10m (candidato 87522). Cor (bege) e marca são irrelevantes para o match.",25,"[86604, 87522, 102367, 102359, 87521, 87000, 84759, 110407, 86857, 86843, 84775, 88195, 87286, 87014, 86323, 87193, 86966, 87983, 92918, 88058, 84673, 87001, 87239, 107356, 88172]",openai:gpt-5-mini,False,,3.75,3.75,3.75,4.58,4361.992,A,initial
"AGUA PARA INJECAO  (IV 100ML)
",AGUA PARA INJETAVEIS,4,"['FARMACE', 'FARMARIN', 'FRESENIUS']",no_match,,,0.9,"Mesmo princípio (água para injetáveis) e forma (solução injetável), mas os candidatos disponíveis são ampolas 10 ml (cod 83644) ou 20 ml (cod 86437) enquanto a linha Unimed é para uso IV 100 ml. Volume/embalagem incompatíveis (regra 5) — não é possível mapear clinicamente para nenhum candidato fornecido.",25,"[86603, 83644, 111262, 86437, 84142, 84134, 88170, 114170, 113736, 87750, 84143, 87719, 84955, 87687, 87055, 87142, 87257, 85007, 87146, 84925, 83756, 84213, 115780, 87064, 115874]",openai:gpt-5-mini,False,,2.9625,2.75,3.3,,,,initial
AGUA PARA INJECAO (IV 250ML),AGUA PARA INJETAVEIS,2,"['FRESENIUS', 'JP INDUSTRIA']",no_match,,,0.9,"Produto Unimed: Agua para injetáveis (água para injeção) 250 ml IV. Nenhum candidato corresponde à mesma apresentação clínica: os itens 86437 e 83644 são água para injetáveis em ampolas de 20 ml e 10 ml (volume diferente); 87319 é 'água bidestilada 250 ml' (qualidade/uso distinto de água para injetáveis). Outros candidatos são produtos diferentes. Portanto, sem equivalente clínico 250 ml.",25,"[86603, 86437, 83644, 88220, 87750, 87550, 111262, 108004, 84143, 84955, 88061, 87445, 87295, 84679, 113452, 87096, 84897, 87549, 84742, 111591, 100819, 87319, 87976, 84134, 100823]",openai:gpt-5-mini,False,,3.28,3.06,3.5,,,,initial
DIOSMINA+HESPERIDINA (900 + 100MG CP REV ),DIOSMINA+HESPERIDINA,3,"['BIOLAB', 'SERVIER']",no_match,,,0.9,"Princípio ativo correto (diosmina + hesperidina) presente em candidatos 86721 e 86722, mas: nenhum candidato corresponde exatamente à apresentação clínica Unimed '900 + 100 mg comprimido revestido'. O cod_item=86722 tem dose correta (900+100 mg) porém é granulado em sachê 5 g (forma farmacêutica diferente). O cod_item=86721 é comprimido revestido (forma correta) porém dose 450+50 mg (incompatível). Regras exigem mesma dose e mesma forma; portanto não há candidato equivalente clínico exato.",25,"[111962, 86721, 86722, 87159, 107224, 108004, 86730, 86805, 86729, 87142, 86766, 87185, 86915, 86800, 87188, 86801, 83887, 87050, 87181, 87057, 86960, 86890, 86967, 86338, 87324]",openai:gpt-5-mini,False,,1.6368423333333333,0.711524,2.266003,,,,initial
"SACUBITRIL VALSARTANA SODICA HIDRATADA (100MG CPR REV)
",SACUBITRIL VALSARTANA SODICA HIDRATADA,1,['NOVARTIS'],no_match,,,0.95,"Princípio: sacubitril + valsartana (correto). Dose: Unimed listado como 100 mg (Entresto 97/103 mg ≈100 mg); candidatos disponíveis são 49+51 mg (cod 111930) e 24+26 mg (cod 111929) — doses diferentes. Forma: comprimido revestido compatível, mas a Regra 2 exige mesma dose/concentração. Outros candidatos são valsartana isolada ou fármacos diferentes. Portanto sem equivalente de dose 100 mg na lista.",25,"[111962, 92898, 111930, 111929, 87289, 87290, 87288, 86918, 87295, 83653, 86921, 83679, 86924, 86751, 86476, 86920, 86919, 86582, 86586, 86815, 86753, 86754, 86755, 83696, 86752]",openai:gpt-5-mini,False,,3.187167,3.187167,3.187167,,,,initial
AGUA PARA INJECAO  (IV 10ML),AGUA PARA INJETAVEIS,5,"['EQUIPLEX', 'FARMACE', 'FARMARIN', 'HALEX ISTAR', 'SAMTEC']",match,83644.0,agua para injetaveis sol inj amp 10 ml,1.0,Princípio ativo: água para injetáveis (mesmo). Dose/volume: 10 ml (igual). Forma farmacêutica: solução para injeção/ampola (igual). Via: IV especificada (compatível). Marcas/nomes ignorados — apresentação clínica equivalente.,25,"[86603, 83644, 86437, 111262, 114170, 87750, 87687, 87064, 115874, 84897, 84142, 87550, 113316, 87165, 111221, 100819, 100823, 100820, 100818, 100817, 87976, 84134, 88170, 87547, 87648]",openai:gpt-5-mini,False,,0.1618,0.12,0.209,0.18,4138.848,C,initial
AGUA PARA INJEÂ¿Â¿O  (IV 20ML),AGUA PARA INJETAVEIS,2,"['HALEX ISTAR', 'SAMTEC']",match,86437.0,agua para injetaveis sol inj amp 20 ml,1.0,Substância: água para injetáveis = água para injeção; Dose/volume: 20 ml = 20 ml; Forma: solução para injeção ampola = sol inj amp; Via: IV especificada = injetável IV. Marcas ignoradas. Portanto corresponde clinicamente.,25,"[86603, 86437, 83644, 111262, 87750, 107024, 113736, 84955, 88061, 115780, 84897, 87550, 87167, 88213, 100819, 100823, 100820, 100818, 100817, 84134, 92851, 87648, 86584, 87548, 102459]",openai:gpt-5-mini,False,,0.63,0.61,0.65,0.72,2487.024,C,initial
SULFATO DE BARIO (100% SUSP OR 150ML) ,SULFATO DE BARIO,2,['CRISTALIA'],match,87208.0,sulfato de bario 1 g/ml sus or copo 150 ml,1.0,Princípio ativo idêntico (sulfato de bário). Concentração/expressão '100%' corresponde a 1 g/ml (compatível com 1 g/ml do candidato). Forma farmacêutica: suspensão oral — compatível. Via: oral — compatível. Volume: 150 ml — compatível. Marcas/comerciais ignoradas conforme regra.,25,"[87109, 87208, 87209, 87198, 87210, 87405, 87286, 84226, 86870, 84925, 87034, 86728, 86579, 84965, 84225, 86472, 92908, 83691, 84964, 92940, 86438, 84227, 86495, 87073, 86564]",openai:gpt-5-mini,False,,15.575,15.0,16.15,20.84,9.378,C,initial
"AGUA PARA INJECAO (IV 1000ML)
",AGUA PARA INJETAVEIS,2,"['FRESENIUS', 'HALEX ISTAR']",no_match,,,0.95,Princípio: 'água para injetáveis' bate com candidatos 83644/86437 (água para injetáveis amp). Forma/via: solução injetável IV compatível. Volume: Unimed 1000 ml; candidatos 83644 (10 ml) e 86437 (20 ml) têm volumes incompatíveis. Nenhum outro candidato descreve água para injetáveis 1000 ml. Portanto sem equivalente clínico com volume/embalagem compatível.,25,"[86603, 84280, 111262, 83644, 86437, 83940, 102111, 84309, 85007, 84925, 84213, 84142, 84134, 88170, 92985, 114170, 113736, 87750, 83803, 84143, 87719, 87550, 84955, 115780, 85009]",openai:gpt-5-mini,False,,7.205,6.3,8.11,,,,initial
SERTRALINA SOLIDO (CP/CAP/PO) ORAL,SERTRALINA,4,"['EMS', 'LABORATORIO GLOBO', 'ZYDUS']",no_match,,,0.9,"Unimed tem SKUs em 50 mg e 100 mg (comprimidos/cápsulas, via oral). Na lista Global há sertralina 25 mg (cod 87180) e 50 mg (cod 87181), mas não há item de 100 mg. Pelo Regra 2 (mesma dose exigida) não existe um único cod_item Global que cubra a apresentação 100 mg presente na Unimed; portanto NÃO compatível.",25,"[86318, 87180, 87181, 100377, 87045, 87065, 87141, 87160, 86816, 87701, 86859, 86669, 86854, 87066, 87575, 87576, 87577, 86594, 87572, 87569, 87993, 87683, 87574, 87994, 87578]",openai:gpt-5-mini,False,,0.20741075,0.14,0.3,,,,initial
CITARABINA (20MG/ML SOL INJ IV/SC FA 5 ML),CITARABINA,1,['BLAU'],no_match,,,1.0,"Princípio ativo Unimed: citarabina 20 mg/ml solução injetável IV/SC frasco-ampola 5 ml. Nenhum dos candidatos listados corresponde a citarabina — todos são princípios ativos diferentes (ex.: ocrelizumabe, bupivacaína, fentanila, etc.). Dose, forma e substância não coincidem, portanto sem equivalente clínico entre os candidatos.",25,"[87047, 86547, 86545, 83673, 86727, 83688, 86732, 86615, 87249, 86418, 86440, 86979, 86654, 83645, 116965, 86931, 106342, 83679, 101571, 86537, 87234, 87141, 83672, 84759, 86469]",openai:gpt-5-mini,False,,11.0,11.0,11.0,,,,initial
"TIOPENTAL SODICO (0,5G PO INJ IV B1 VP )",TIOPENTAL SODICO,1,['CRISTALIA'],no_match,,,1.0,"Princípio ativo diferente: Unimed = tiopental sódico (barbitúrico anestésico) 0,5 g solução pó para injetável IV. Nenhum dos candidatos lista tiopental/thiopental ou substância clinicamente equivalente; portanto não há correspondência por princípio ativo.",25,"[86318, 86761, 86619, 86732, 87102, 86975, 86596, 87201, 86727, 86774, 86620, 87089, 86649, 86595, 87225, 86955, 92959, 87249, 87234, 86421, 83696, 86954, 87261, 87094, 87262]",openai:gpt-5-mini,False,,20.22,20.22,20.22,,,,initial
IODOPOVIDONA SOLUCAO COM TENSOATIVOS 1 LITRO ,IODOPOVIDONA,1,['VIC PHARMA'],no_match,,,1.0,"Princípio ativo Unimed: IODOPOVIDONA (solução antisséptica com tensoativos) 1 L. Nenhum dos candidatos lista iodopovidona ou descrição equivalente. Produtos listados são medicamentos diversos, soluções oftálmicas, sabonetes, solução cardioplégica, Prontosan (polyhexanida/betaína, 350 ml) etc., portanto substância/indicação/formulação diferentes. Sem candidato clínico equivalente.",25,"[87396, 87193, 111216, 92955, 87123, 86548, 86796, 83880, 111299, 86689, 87190, 111118, 87848, 86998, 86728, 83685, 86883, 110605, 108049, 86980, 86981, 87208, 86724, 86491, 92912]",openai:gpt-5-mini,False,,36.93,36.93,36.93,,,,initial
BACLOFENO SOLIDO (CP/CAP/PO) ORAL,BACLOFENO,1,['TEUTO'],match,86502.0,baclofeno 10 mg com,1.0,"Mesmo princípio ativo (BACLOFENO), mesma dose (10 mg), mesma forma farmacêutica sólida (comprimido) e via oral — apresentação clínica equivalente ao SKU Unimed (BACLOFEN 10MG CP). Marcas ignoradas.",25,"[86318, 86502, 86329, 87571, 87575, 87576, 87577, 92807, 87479, 87572, 87569, 87993, 87683, 87574, 87994, 87578, 87996, 86672, 86871, 84124, 86761, 87215, 86583, 86584, 83834]",openai:gpt-5-mini,False,,0.115,0.115,0.115,0.13,391.326,C,initial
CAMPO OPER 45X50 18G HELENA,PRODUTOS PARA SAUDE,1,['AMED S/A'],no_match,,,0.9,Produto Unimed é 'campo operatório' estéril 45x50 (drape/field). Nenhum candidato descreve campo estéril com dimensões 45x50: candidatos de campo existentes têm dimensões diferentes (75x75) ou são kits/lençóis sem especificação compatível. Portanto não há apresentação clínica equivalente.,25,"[84112, 87754, 86745, 87053, 86721, 83895, 106331, 83804, 87638, 83677, 92796, 87709, 86801, 86947, 83787, 86608, 113452, 87096, 86579, 115902, 87522, 86960, 86969, 86777, 86472]",openai:gpt-5-mini,False,,0.96,0.96,0.96,,,,initial
CAMPO OPER 45X50 15G HELENA,PRODUTOS PARA SAUDE,1,['AMED S/A'],no_match,,,0.85,"Produto Unimed: campo operatório (dreno/lençol cirúrgico) 45x50 cm. Nenhum candidato apresenta apresentação clínica equivalente: cod_item=1 é kit de 3 peças (não corresponde a 1 campo 45x50), cod_item=10 é campo fenestrado 75x75 cm (tamanho e fenestração diferentes), cod_item=9 é papel lençol 50x50 (tamanho e material diferentes). Tamanho/embalagem/especificação incompatíveis.",25,"[84112, 87754, 86745, 87053, 86721, 83895, 86472, 106331, 83804, 87638, 83677, 92796, 92740, 87709, 86947, 83672, 83787, 86608, 87096, 86579, 87522, 87075, 86960, 83648, 86777]",openai:gpt-5-mini,False,,0.9,0.9,0.9,,,,initial
NILOTINIBE SOLIDO (150MG CAP),NILOTINIBE,1,['NOVARTIS'],no_match,,,0.95,"Substância Unimed: nilotinibe 150 mg cápsula (TASIGNA). Entre os candidatos há nilotinibe apenas no cod_item=87030, porém é 200 mg cápsula — dose diferente (150 mg ≠ 200 mg). Forma (cápsula) e via compatíveis, mas a diferença de dose impede o match segundo regra 2. Nenhum outro candidato apresenta nilotinibe 150 mg.",25,"[86441, 87030, 86673, 107224, 83688, 92918, 87193, 106331, 107410, 87045, 86771, 87141, 83672, 87265, 102397, 87007, 87284, 92881, 87266, 86921, 87024, 86945, 92932, 116736, 86997]",openai:gpt-5-mini,False,,123.171,123.171,123.171,,,,initial
